case_id,submitted_product,original_calculation_output_in_package,source_content_used,coverage
01_dustybox,01_dustybox/data/dustybox_validation.csv,01_dustybox/source_calculation_outputs/,31 matched-time U and Us OpenFOAM fields plus case parameters and original validation_data.csv reducer output,complete
01_dustybox,01_dustybox/data/dustybox_validation_metrics.json,01_dustybox/source_calculation_outputs/check_dustybox.json; log.gpu2.6,Original checker result and solver log,complete
02_wind_sand_shock_tube,02_wind_sand_shock_tube/data/windsand_shocktube_validation.csv,02_wind_sand_shock_tube/source_calculation_outputs/0.2/; source_calculation_outputs/validation_data.csv; 02_wind_sand_shock_tube/reference/published_reference_profiles.csv,Final rho epsilonS U Us p Tp fields original reducer output and published profile,complete
02_wind_sand_shock_tube,02_wind_sand_shock_tube/data/windsand_thermal_covariance.csv,02_wind_sand_shock_tube/source_calculation_outputs/0.2/gpuResidentStrictParticles.dat,Full original 200000-particle restart columns u T cell status,complete
03_taylor_green,03_taylor_green/consistency/taylor_green_consistency.csv,03_taylor_green/consistency/source_calculation_outputs/L0|L1|T1|S1/; source_calculation_outputs/reducer_outputs/,All 21 times x seven full macro fields exact particle-count headers and original reducer output before E1-to-T1 manuscript renaming,complete_for_every_byte_read_by_reducer
03_taylor_green,03_taylor_green/consistency/taylor_green_field_errors.csv; consistency_audit.json,03_taylor_green/consistency/source_calculation_outputs/L0|L1|T1|S1/; shared_initial/gpuResidentStrictParticles.dat,Four matched states and common full initial particle restart,complete_for_reducer_inputs
03_taylor_green,03_taylor_green/performance/taylor_green_l1_vs_l0_speedup.csv,03_taylor_green/performance/raw_runs_taylor_formal/; raw_runs_taylor_large/,Per-process original CUDA stage timing and experiment receipts across ten loads,complete
06_new_heavy_laval_nozzle,06_new_heavy_laval_nozzle/data/gpu30_heavy_tail_speedup.csv,06_new_heavy_laval_nozzle/source_calculation_outputs/process_medians.csv; runs/; 05_heavy_laval_nozzle/weighted_tail_s1_s2/,Five measured newS2 process medians per factor plus unchanged submitted S1/S2 baseline and its paired confidence intervals,complete
06_new_heavy_laval_nozzle,06_new_heavy_laval_nozzle/data/gpu30_heavy_tail_stage_cost.csv,06_new_heavy_laval_nozzle/source_calculation_outputs/process_medians.csv; runs/; input_receipts/; 05_heavy_laval_nozzle/weighted_tail_s1_s2/,Original collision-pool and moment-reduction CUDA-event timings for complete k1--k64 newS2 matrix plus unchanged submitted baseline medians,complete
03_taylor_green,03_taylor_green/performance/taylor_green_incremental_speedups.csv; taylor_green_s1_t1_cost.csv,03_taylor_green/performance/raw_runs_taylor_formal/; raw_runs_taylor_large/; raw_runs_t1_s1/,Per-process L1 E1 S1 CUDA stage timing across ten loads,complete
04_two_phase_laval_nozzle,04_two_phase_laval_nozzle/data/nozzle_field_t0p115.csv,04_two_phase_laval_nozzle/source_calculation_outputs/field_t0.11500001/,Original p epsilonS U trajectory fields,complete
04_two_phase_laval_nozzle,04_two_phase_laval_nozzle/performance/occupancy_load_metrics.csv,04_two_phase_laval_nozzle/source_calculation_outputs/occupancy_base/,Full original base particle restart and mesh owner file,complete
04_two_phase_laval_nozzle,04_two_phase_laval_nozzle/performance/nozzle_l1_vs_l0_speedup.csv; nozzle_incremental_speedups.csv; nozzle_state_speedups.csv; nozzle_total_cost.csv,04_two_phase_laval_nozzle/performance/raw_runs/,144 original per-process CUDA stage timing files plus manifests logs and validation receipts,complete
03_taylor_green_and_04_nozzle,03_taylor_green/performance/taylor_green_l1_vs_l0_speedup.csv; taylor_green_incremental_speedups.csv; 04_two_phase_laval_nozzle/performance/nozzle_l1_vs_l0_speedup.csv; nozzle_incremental_speedups.csv; cross-case CSVs,provenance/cross_case_performance_source.csv,Combined manuscript-facing source table assembled from the two original timing matrices before case/comparison subsetting,complete_intermediate_source_with_raw_timing_parents_also_submitted
04_two_phase_laval_nozzle,04_two_phase_laval_nozzle/field_snapshots/sparse_t0.11; dense_t0.11,04_two_phase_laval_nozzle/field_snapshots/,Original readable Eulerian result fields and mesh used for physical-distribution images,complete
05_heavy_laval_nozzle,05_heavy_laval_nozzle/block_scan/gpu295_nozzle_s1_time_vs_block.csv; gpu295_nozzle_block_scan_run_data.csv; gpu295_nozzle_heavy_threshold_vs_block.csv,05_heavy_laval_nozzle/block_scan/raw_runs/,52 original per-process CUDA timing files and occupancy diagnostics,complete
05_heavy_laval_nozzle,05_heavy_laval_nozzle/weighted_tail_s1_s2/gpu30_heavy_tail_speedup.csv; gpu30_heavy_tail_stage_cost.csv,05_heavy_laval_nozzle/weighted_tail_s1_s2/raw_runs/,84 original per-process CUDA stage timing files plus manifests logs validation and physical-gate receipts,complete
05_heavy_laval_nozzle,05_heavy_laval_nozzle/weighted_tail_s1_s2/authoritative_summaries/; verified_physics_gates/,05_heavy_laval_nozzle/weighted_tail_s1_s2/refinement_source/; raw_physics_gate/,Seven original conservation tables selected-cell manifests population probes source residuals and compared macro fields,complete_except_hashed_binary_gate_restarts_not_read_for_figures
05_heavy_laval_nozzle,05_heavy_laval_nozzle/four_state_extension/gpu30_four_state_heavy_speedup_compare.csv; gpu30_four_state_split_speedup_compare.csv,05_heavy_laval_nozzle/four_state_extension/raw_runs/,168 original per-process T1 T2 S1 S2 CUDA stage timing files plus receipts,complete
05_heavy_laval_nozzle,05_heavy_laval_nozzle/four_state_extension/authoritative_summaries/; verified_physics_gates/,05_heavy_laval_nozzle/four_state_extension/refinement_source/; raw_physics_gate/,Seven original conservation tables and four-state one-step macro/probe outputs,complete_except_hashed_binary_gate_restarts_not_read_for_figures
