manuscript_line,manuscript_figure,submitted_figure,plotting_or_underlying_data,original_calculation_output,traceability_status
642,fig:dustybox-validation,01_dustybox/figures/dustybox_validation.pdf,01_dustybox/data/dustybox_validation.csv; 01_dustybox/data/dustybox_validation_metrics.json,01_dustybox/source_calculation_outputs/ 31 time directories U and Us; case_parameters.json; log.gpu2.6; check_dustybox.json,complete_to_original_solver_fields
658;663;668,fig:windsand-validation,02_wind_sand_shock_tube/figures/windsand_shocktube_density.pdf; 02_wind_sand_shock_tube/figures/windsand_shocktube_velocity.pdf; 02_wind_sand_shock_tube/figures/windsand_shocktube_pressure_temperature.pdf,02_wind_sand_shock_tube/data/windsand_shocktube_validation.csv; 02_wind_sand_shock_tube/data/windsand_shocktube_validation_metrics.json; 02_wind_sand_shock_tube/reference/published_reference_profiles.csv,02_wind_sand_shock_tube/source_calculation_outputs/0.2/rho; epsilonS; U; Us; p; Tp; case_parameters.json; log.gpu2.6; check_windsand.json,complete_to_original_solver_fields_and_published_reference
711,fig:windsand-thermal-covariance,02_wind_sand_shock_tube/figures/windsand_thermal_covariance.pdf,02_wind_sand_shock_tube/data/windsand_thermal_covariance.csv; 02_wind_sand_shock_tube/data/windsand_shocktube_validation.csv,02_wind_sand_shock_tube/source_calculation_outputs/0.2/gpuResidentStrictParticles.dat; 0.2/Tp,complete_to_full_original_particle_restart
745,fig:tgv-consistency,03_taylor_green/figures/taylor_green_consistency.pdf,03_taylor_green/consistency/taylor_green_consistency.csv; taylor_green_field_errors.csv; consistency_audit.json,03_taylor_green/consistency/source_calculation_outputs/L0|L1|T1|S1/ 21 times x rho p T U epsilonS Us theta plus exact particle headers; shared_initial/gpuResidentStrictParticles.dat,complete_to_fields_and_exact_particle_count_records
799,fig:tgv-performance,03_taylor_green/figures/taylor_green_performance.pdf,03_taylor_green/performance/taylor_green_l1_vs_l0_speedup.csv; taylor_green_incremental_speedups.csv; taylor_green_s1_t1_cost.csv,03_taylor_green/performance/raw_runs_taylor_formal/; raw_runs_taylor_large/; raw_runs_t1_s1/ per-process stage_timing.csv and receipts,complete_to_original_cuda_event_timings
824,fig:nozzle-sparse-dense-volume,04_two_phase_laval_nozzle/figures/nozzle_sparse_dense_volume_fraction.png,04_two_phase_laval_nozzle/field_snapshots/sparse_t0.11/0.10999998/epsilonS; dense_t0.11/0.10999997/epsilonS,04_two_phase_laval_nozzle/field_snapshots/*/constant/polyMesh and exact original Eulerian field snapshots,complete_to_readable_original_fields
831,fig:nozzle-sparse-dense-diameter,04_two_phase_laval_nozzle/figures/nozzle_sparse_dense_diameter.png,04_two_phase_laval_nozzle/field_snapshots/sparse_t0.11/0.10999998/dMeanCell; dense_t0.11/0.10999997/dMeanCell,04_two_phase_laval_nozzle/field_snapshots/*/constant/polyMesh and exact original Eulerian field snapshots,complete_to_readable_original_fields
861,fig:nozzle-static-performance,04_two_phase_laval_nozzle/figures/nozzle_static_performance.pdf,04_two_phase_laval_nozzle/performance/nozzle_l1_vs_l0_speedup.csv; nozzle_incremental_speedups.csv; cross_case_l1_l0_speedup.csv,04_two_phase_laval_nozzle/performance/raw_runs/ 144 per-process stage_timing.csv and receipts; source_calculation_outputs/occupancy_base particle restart and owner,complete_to_original_cuda_event_timings_and_occupancy_restart
936,fig:nozzle-s1-block-scan,05_heavy_laval_nozzle/figures/gpu295_nozzle_s1_time_vs_block.png,05_heavy_laval_nozzle/block_scan/gpu295_nozzle_s1_time_vs_block.csv; gpu295_nozzle_block_scan_run_data.csv; gpu295_nozzle_heavy_threshold_vs_block.csv,05_heavy_laval_nozzle/block_scan/raw_runs/ 52 per-process stage_timing.csv and receipts,complete_to_original_cuda_event_timings
1018,fig:nozzle-heavy-tail-speedup,05_heavy_laval_nozzle/figures/gpu30_heavy_tail_speedup.png,05_heavy_laval_nozzle/weighted_tail_s1_s2/gpu30_heavy_tail_speedup.csv; authoritative_summaries/,05_heavy_laval_nozzle/weighted_tail_s1_s2/raw_runs/ 84 timing runs; refinement_source/; raw_physics_gate/,complete_to_original_timings_refinement_records_and_gate_outputs
1027,fig:nozzle-heavy-tail-stages,05_heavy_laval_nozzle/figures/gpu30_heavy_tail_stage_cost.png,05_heavy_laval_nozzle/weighted_tail_s1_s2/gpu30_heavy_tail_stage_cost.csv; authoritative_summaries/process_medians.csv,05_heavy_laval_nozzle/weighted_tail_s1_s2/raw_runs/ 84 per-process stage_timing.csv; refinement_source/; raw_physics_gate/,complete_to_original_cuda_event_stage_timings
supplementary,fig:nozzle-new-heavy-tail-speedup,06_new_heavy_laval_nozzle/figures/gpu30_heavy_tail_speedup.png,06_new_heavy_laval_nozzle/data/gpu30_heavy_tail_speedup.csv; 05_heavy_laval_nozzle/weighted_tail_s1_s2/gpu30_heavy_tail_speedup.csv,06_new_heavy_laval_nozzle/source_calculation_outputs/runs/ 42 timing runs; input_receipts/; 05_heavy_laval_nozzle/weighted_tail_s1_s2/ baseline evidence,complete_to_original_newS2_timings_and_submitted_baseline
supplementary,fig:nozzle-new-heavy-tail-stages,06_new_heavy_laval_nozzle/figures/gpu30_heavy_tail_stage_cost.png,06_new_heavy_laval_nozzle/data/gpu30_heavy_tail_stage_cost.csv; 05_heavy_laval_nozzle/weighted_tail_s1_s2/gpu30_heavy_tail_stage_cost.csv,06_new_heavy_laval_nozzle/source_calculation_outputs/runs/ 42 per-process stage_timing.csv; input_receipts/; 05_heavy_laval_nozzle/weighted_tail_s1_s2/ baseline evidence,complete_to_original_newS2_cuda_event_stage_timings_and_submitted_baseline
